#framenum,queue density
1,0.093991
2,0.093991
3,0.126093
4,0.126093
5,0.127406
6,0.127406
7,0.144355
8,0.144355
9,0.143089
10,0.143089
11,0.134307
12,0.134307
13,0.134813
14,0.134813
15,0.135573
16,0.135573
17,0.147529
18,0.147529
19,0.172554
20,0.172554
21,0.166174
22,0.166174
23,0.182276
24,0.182276
25,0.194593
26,0.194593
27,0.19051
28,0.19051
29,0.188648
30,0.188648
31,0.188135
32,0.188135
33,0.186293
34,0.186293
35,0.173941
36,0.173941
37,0.173491
38,0.173491
39,0.173443
40,0.173443
41,0.172432
42,0.172432
43,0.170685
44,0.170685
45,0.170254
46,0.170254
47,0.171621
48,0.171621
49,0.168071
50,0.168071
51,0.167393
52,0.167393
53,0.16918
54,0.16918
55,0.166437
56,0.166437
57,0.167146
58,0.167146
59,0.168255
60,0.168255
61,0.166221
62,0.166221
63,0.1682
64,0.1682
65,0.169341
66,0.169341
67,0.167503
68,0.167503
69,0.173016
70,0.173016
71,0.196352
72,0.196352
73,0.175701
74,0.175701
75,0.177523
76,0.177523
77,0.194401
78,0.194401
79,0.205573
80,0.205573
81,0.191873
82,0.191873
83,0.22184
84,0.22184
85,0.236465
86,0.236465
87,0.273634
88,0.273634
89,0.309142
90,0.309142
91,0.312735
92,0.312735
93,0.326815
94,0.326815
95,0.323755
96,0.323755
97,0.323661
98,0.323661
99,0.320867
100,0.320867
101,0.327046
102,0.327046
103,0.382638
104,0.382638
105,0.406511
106,0.406511
107,0.42755
108,0.42755
109,0.42757
110,0.42757
111,0.435529
112,0.435529
113,0.435474
114,0.435474
115,0.431653
116,0.431653
117,0.464853
118,0.464853
119,0.498852
120,0.498852
121,0.562488
122,0.562488
123,0.591459
124,0.591459
125,0.626779
126,0.626779
127,0.634797
128,0.634797
129,0.636631
130,0.636631
131,0.695753
132,0.695753
133,0.690925
134,0.690925
135,0.65104
136,0.65104
137,0.653673
138,0.653673
139,0.668992
140,0.668992
141,0.645805
142,0.645805
143,0.650252
144,0.650252
145,0.652847
146,0.652847
147,0.657835
148,0.657835
149,0.65838
150,0.65838
151,0.679486
152,0.679486
153,0.682194
154,0.682194
155,0.682206
156,0.682206
157,0.680697
158,0.680697
159,0.679972
160,0.679972
161,0.674631
162,0.674631
163,0.670124
164,0.670124
165,0.689013
166,0.689013
167,0.706467
168,0.706467
169,0.708238
170,0.708238
171,0.704817
172,0.704817
173,0.704664
174,0.704664
175,0.705452
176,0.705452
177,0.704253
178,0.704253
179,0.705902
180,0.705902
181,0.704621
182,0.704621
183,0.704907
184,0.704907
185,0.703598
186,0.703598
187,0.703539
188,0.703539
189,0.713027
190,0.713027
191,0.712545
192,0.712545
193,0.715202
194,0.715202
195,0.709053
196,0.709053
197,0.705781
198,0.705781
199,0.703504
200,0.703504
201,0.703128
202,0.703128
203,0.702822
204,0.702822
205,0.707725
206,0.707725
207,0.704997
208,0.704997
209,0.703136
210,0.703136
211,0.704017
212,0.704017
213,0.702666
214,0.702666
215,0.69551
216,0.69551
217,0.698378
218,0.698378
219,0.705836
220,0.705836
221,0.702203
222,0.702203
223,0.698116
224,0.698116
