#framenum,queue density
1,0.02
2,0.024
3,0.016
4,0.02
5,0.012
6,0.024
7,0.028
8,0.052
9,0.04
10,0.088
11,0.084
12,0.096
13,0.076
14,0.092
15,0.084
16,0.076
17,0.088
18,0.08
19,0.092
20,0.092
21,0.084
22,0.1
23,0.088
24,0.108
25,0.104
26,0.088
27,0.104
28,0.116
29,0.084
30,0.096
31,0.1
32,0.096
33,0.092
34,0.092
35,0.056
36,0.092
37,0.084
38,0.1
39,0.1
40,0.092
41,0.092
42,0.092
43,0.092
44,0.092
45,0.088
46,0.092
47,0.092
48,0.088
49,0.084
50,0.108
51,0.096
52,0.1
53,0.1
54,0.092
55,0.1
56,0.096
57,0.112
58,0.112
59,0.096
60,0.084
61,0.088
62,0.088
63,0.06
64,0.096
65,0.096
66,0.088
67,0.08
68,0.08
69,0.08
70,0.1
71,0.084
72,0.084
73,0.088
74,0.104
75,0.104
76,0.104
77,0.104
78,0.088
79,0.088
80,0.088
81,0.116
82,0.096
83,0.1
84,0.1
85,0.132
86,0.12
87,0.136
88,0.14
89,0.16
90,0.136
91,0.164
92,0.176
93,0.168
94,0.152
95,0.196
96,0.24
97,0.228
98,0.232
99,0.224
100,0.232
101,0.228
102,0.232
103,0.236
104,0.252
105,0.272
106,0.44
107,0.268
108,0.388
109,0.392
110,0.4
111,0.404
112,0.392
113,0.376
114,0.384
115,0.372
116,0.356
117,0.368
118,0.4
119,0.36
120,0.416
121,0.432
122,0.572
123,0.588
124,0.544
125,0.496
126,0.516
127,0.556
128,0.536
129,0.416
130,0.612
131,0.604
132,0.576
133,0.572
134,0.592
135,0.572
136,0.612
137,0.608
138,0.616
139,0.6
140,0.54
141,0.568
142,0.56
143,0.556
144,0.548
145,0.556
146,0.552
147,0.556
148,0.568
149,0.56
150,0.584
151,0.564
152,0.564
153,0.564
154,0.568
155,0.508
156,0.6
157,0.596
158,0.592
159,0.58
160,0.488
161,0.488
162,0.468
163,0.456
164,0.492
165,0.396
166,0.416
167,0.424
168,0.596
169,0.524
170,0.412
171,0.544
172,0.544
173,0.548
174,0.536
175,0.52
176,0.416
177,0.48
178,0.528
179,0.44
180,0.524
181,0.532
182,0.524
183,0.524
184,0.524
185,0.524
186,0.52
187,0.52
188,0.528
189,0.54
190,0.532
191,0.532
192,0.52
193,0.52
194,0.52
195,0.516
196,0.416
197,0.548
198,0.54
199,0.548
200,0.536
201,0.524
202,0.548
203,0.528
204,0.54
205,0.54
206,0.528
207,0.528
208,0.536
209,0.54
210,0.54
211,0.536
212,0.544
213,0.44
214,0.452
215,0.52
216,0.52
217,0.52
218,0.444
219,0.432
220,0.52
221,0.528
222,0.516
223,0.548
224,0.532
225,0.544
226,0.544
227,0.548
228,0.528
229,0.536
230,0.532
231,0.536
232,0.54
233,0.544
234,0.536
235,0.54
236,0.536
237,0.532
238,0.476
239,0.476
240,0.472
241,0.488
242,0.484
243,0.428
244,0.428
245,0.428
246,0.372
247,0.428
248,0.52
249,0.464
250,0.532
251,0.532
252,0.528
253,0.548
254,0.524
255,0.52
256,0.484
257,0.48
258,0.488
259,0.48
260,0.484
261,0.484
262,0.532
263,0.536
264,0.54
265,0.492
266,0.544
267,0.532
268,0.428
269,0.432
270,0.42
271,0.524
272,0.428
273,0.416
274,0.544
275,0.544
276,0.552
277,0.548
278,0.536
279,0.532
280,0.524
281,0.444
282,0.444
283,0.432
284,0.408
285,0.42
286,0.528
287,0.544
288,0.556
289,0.56
290,0.604
291,0.496
292,0.44
293,0.524
294,0.66
295,0.616
296,0.58
297,0.584
298,0.688
299,0.628
300,0.56
301,0.532
302,0.616
303,0.596
304,0.572
305,0.664
306,0.452
307,0.476
308,0.6
309,0.5
310,0.464
311,0.584
312,0.596
313,0.516
